"Source IP"," Source Port"," Destination IP"," Destination Port"," Protocol"," Flow Duration"," Flow Bytes/s"," Flow Packets/s"," Flow IAT Mean"," Flow IAT Std"," Flow IAT Max"," Flow IAT Min","Fwd IAT Mean"," Fwd IAT Std"," Fwd IAT Max"," Fwd IAT Min","Bwd IAT Mean"," Bwd IAT Std"," Bwd IAT Max"," Bwd IAT Min","Active Mean"," Active Std"," Active Max"," Active Min","Idle Mean"," Idle Std"," Idle Max"," Idle Min","label"
"10.0.2.15","35458","195.154.82.180","443","6","135","0","14814.814814815","135","0","135","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","35438","195.154.82.180","443","6","137","0","14598.540145985","137","0","137","137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","50781","37.97.149.8","443","6","152","0","13157.894736842","152","0","152","152","152","0","152","152","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","50787","37.97.149.8","443","6","191","0","10471.204188482","191","0","191","191","191","0","191","191","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","40146","195.154.82.180","443","6","88","0","22727.272727273","88","0","88","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"195.154.107.23","443","10.0.2.15","58167","6","127791","0","15.6505544209","127791","0","127791","127791","127791","0","127791","127791","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"5.9.123.81","9001","10.0.2.15","48917","6","216","0","9259.2592592593","216","0","216","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"148.251.190.229","9010","10.0.2.15","47384","6","156","0","12820.512820513","156","0","156","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","59875","148.251.190.229","9010","6","6478","0","308.7372645878","6478","0","6478","6478","6478","0","6478","6478","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","34361","5.9.123.81","9001","6","119","0","16806.722689076","119","0","119","119","119","0","119","119","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","34367","5.9.123.81","9001","6","2467","0","810.7012565869","2467","0","2467","2467","2467","0","2467","2467","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"5.9.123.81","9001","10.0.2.15","32788","6","226","0","8849.5575221239","226","0","226","226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"148.251.190.229","9010","10.0.2.15","39680","6","234","0","8547.0085470086","234","0","234","234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"37.97.149.8","443","10.0.2.15","50622","6","452","0","4424.778761062","452","0","452","452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","58567","37.97.149.8","443","6","186","0","10752.688172043","186","0","186","186","186","0","186","186","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","58568","37.97.149.8","443","6","150","0","13333.333333333","150","0","150","150","150","0","150","150","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","44610","213.239.216.222","443","6","342","0","5847.9532163743","342","0","342","342","342","0","342","342","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","56113","195.154.82.180","443","6","244","0","8196.7213114754","244","0","244","244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","43437","5.9.123.81","9001","6","108","0","18518.518518519","108","0","108","108","108","0","108","108","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","35904","148.251.190.229","9010","6","141","0","14184.397163121","141","0","141","141","141","0","141","141","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","43404","5.9.123.81","9001","6","154","0","12987.012987013","154","0","154","154","154","0","154","154","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","35875","148.251.190.229","9010","6","379","0","5277.0448548813","379","0","379","379","379","0","379","379","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","37490","5.9.123.81","9001","6","136","0","14705.882352941","136","0","136","136","136","0","136","136","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","57397","148.251.190.229","9010","6","241","0","8298.755186722","241","0","241","241","241","0","241","241","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","38768","5.9.123.81","9001","6","161","0","12422.360248447","161","0","161","161","161","0","161","161","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","44722","5.9.123.81","9001","6","224","0","8928.5714285714","224","0","224","224","224","0","224","224","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","43771","148.251.190.229","9010","6","172","0","11627.906976744","172","0","172","172","172","0","172","172","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","53489","148.251.190.229","9010","6","89","0","22471.91011236","89","0","89","89","89","0","89","89","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","54027","148.251.190.229","9010","6","65","0","30769.230769231","65","0","65","65","65","0","65","65","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","44173","5.9.123.81","9001","6","69","0","28985.507246377","69","0","69","69","69","0","69","69","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9962518","109.008585982","0.4015049207","3320839.3333333","5751540.2876605","9962146","179","9962339","0","9962339","9962339","9962325","0","9962325","9962325","193","0","193","193","9962146","0","9962146","9962146","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9926191","109.4075260087","0.4029743131","3308730.3333333","5730313.138992","9925526","323","9925849","0","9925849","9925849","9925868","0","9925868","9925868","323","0","323","323","9925526","0","9925526","9925526","TOR"
"10.0.2.15","33827","82.161.239.177","110","6","9911932","109.5649163049","0.4035540195","3303977.3333333","5722384.677489","9911618","46","9911932","0","9911932","9911932","9911618","0","9911618","9911618","268","0","268","268","9911618","0","9911618","9911618","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9852195","110.2292433311","0.4060008962","3284065","5687369.8276482","9851274","322","9851873","0","9851873","9851873","9851596","0","9851596","9851596","599","0","599","599","9851274","0","9851274","9851274","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","9831685","110.4591939225","0.4068478598","3277228.3333333","5676252.369181","9831600","37","4915842.5","6951983.2517391","9831637","48","0","0","0","0","48","0","48","48","9831600","0","9831600","9831600","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9752497","111.3560968027","0.4101513694","3250832.3333333","5630118.3300426","9751933","241","9752174","0","9752174","9752174","9752256","0","9752256","9752256","241","0","241","241","9751933","0","9751933","9751933","TOR"
"37.97.149.8","443","10.0.2.15","37132","6","9654755","112.4834343285","0.4143036255","3218251.6666667","5574000.4613026","9654553","51","9654755","0","9654755","9654755","9654553","0","9654553","9654553","51","0","51","51","9654553","0","9654553","9654553","TOR"
"37.97.149.8","443","10.0.2.15","37132","6","9652076","112.5146548784","0.4144186183","3217358.6666667","5572428.6253209","9651845","53","9652076","0","9652076","9652076","9651845","0","9651845","9651845","53","0","53","53","9651845","0","9651845","9651845","TOR"
"37.97.149.8","443","10.0.2.15","37132","6","9648220","112.5596223967","0.4145842446","3216073.3333333","5570247.3957483","9648041","57","9648220","0","9648220","9648220","9648041","0","9648041","9648041","57","0","57","57","9648041","0","9648041","9648041","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9574490","113.4264070462","0.4177768215","3191496.6666667","5527701.0109739","9574336","58","4787245","6770051.0409008","9574394","96","0","0","0","0","96","0","96","96","9574336","0","9574336","9574336","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9477973","114.5814616691","0.4220311664","3159324.3333333","5471908.4793714","9477740","53","4738896.5","6701736.7476636","9477740","53","0","0","0","0","53","0","53","53","9477740","0","9477740","9477740","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","9460467","114.7934874674","0.4228121085","3153489","5461922.6287553","9460374","37","4730233.5","6689508.0429898","9460430","37","0","0","0","0","37","0","37","37","9460374","0","9460374","9460374","TOR"
"10.0.2.15","33827","82.161.239.177","110","6","9395809","115.5834478968","0.4257217234","3131936.3333333","5424567.2003286","9395687","45","4697904.5","6643776.6190233","9395764","45","0","0","0","0","45","0","45","45","9395687","0","9395687","9395687","TOR"
"10.0.2.15","33827","82.161.239.177","110","6","9278937","117.0392686145","0.4310838623","3092979","5323465.946743","9239947","53","4639468.5","6506134.0414246","9240000","38937","0","0","0","0","38937","0","38937","38937","9239947","0","9239947","9239947","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9171386","118.4117645904","0.4361390961","3057128.6666667","5295035.4919861","9171309","37","4585693","6485096.9075776","9171349","37","0","0","0","0","37","0","37","37","9171309","0","9171309","9171309","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9167259","118.4650722751","0.4363354412","3055753","5291901.0736862","9166314","57","4583185.5","6481522.4827987","9166314","57","0","0","0","0","57","0","57","57","9166314","0","9166314","9166314","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9154140","118.6348471839","0.4369607631","3051380","5284558.0301906","9153462","186","9153648","0","9153648","9153648","9153954","0","9153954","9153954","186","0","186","186","9153462","0","9153462","9153462","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","9098023","119.3665920607","0.439655956","3032674.3333333","5252675.0140612","9097941","38","4549011.5","6433220.0185758","9097985","38","0","0","0","0","38","0","38","38","9097941","0","9097941","9097941","TOR"
"82.161.239.177","110","10.0.2.15","47257","6","8920235","121.7456714986","0.4484186796","2973411.6666667","5150010.8778736","8920132","44","8920191","0","8920191","8920191","8920176","0","8920176","8920176","59","0","59","59","8920132","0","8920132","8920132","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","8759043","123.9861478018","0.4566708943","2919681","5056962.2217348","8758958","40","4379521.5","6193515.0623943","8758998","45","0","0","0","0","45","0","45","45","8758958","0","8758958","8758958","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","8751340","124.0952814083","0.4570728597","2917113.3333333","5052483.7157462","8751219","38","4375670","6188014.4787434","8751257","83","0","0","0","0","83","0","83","83","8751219","0","8751219","8751219","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","8723048","124.4977672942","0.4585553123","2907682.6666667","5036125.9392468","8722900","51","4361524","6167989.2147002","8722951","97","0","0","0","0","97","0","97","97","8722900","0","8722900","8722900","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","8700526","124.820039616","0.459742319","2900175.3333333","5023075.2252882","8700323","51","4350187","6152021.3293675","8700323","51","0","0","0","0","51","0","51","51","8700323","0","8700323","8700323","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","8570999","126.7063500999","0.4666900556","2856999.6666667","4948393.2356659","8570912","39","4285499.5","6060543.6321921","8570951","48","0","0","0","0","48","0","48","48","8570912","0","8570912","8570912","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","8507803","127.647525454","0.4701566315","2835934.3333333","4911911.3381792","8507721","41","4253901.5","6015867.2115432","8507762","41","0","0","0","0","41","0","41","41","8507721","0","8507721","8507721","TOR"
"10.0.2.15","59960","198.52.200.39","443","6","8248177","131.6654577127","0.4849556454","2749392.3333333","4761978.0920732","8248051","61","4124088.5","5832249.9652454","8248112","65","0","0","0","0","65","0","65","65","8248051","0","8248051","8248051","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","8105749","133.978982078","0.4934769137","2701916.3333333","4679774.0947247","8105654","41","4052874.5","5731553.7169637","8105695","54","0","0","0","0","54","0","54","54","8105654","0","8105654","8105654","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","8101499","134.0492666851","0.4937357889","2700499.6666667","4677225.9594615","8101295","64","4050749.5","5728534.371008","8101435","64","0","0","0","0","64","0","64","64","8101295","0","8101295","8101295","TOR"
"10.0.2.15","40414","195.154.82.180","443","6","7905207","137.3778068051","0.5059956052","2635069","4563985.9208842","7905106","49","3952603.5","5589751.9372781","7905155","52","0","0","0","0","52","0","52","52","7905106","0","7905106","7905106","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","7746190","140.1979553819","0.5163828928","2582063.3333333","4472016.3324031","7745903","143","7746046","0","7746046","7746046","7746047","0","7746047","7746047","143","0","143","143","7745903","0","7745903","7745903","TOR"
"10.0.2.15","36922","198.52.200.39","443","6","7664771","141.6872076152","0.521868168","2554923.6666667","4424629.7317769","7664046","338","7664433","0","7664433","7664433","7664384","0","7664384","7664384","387","0","387","387","7664046","0","7664046","7664046","TOR"
"10.0.2.15","57188","82.161.239.177","110","6","7529843","144.2261146746","0.5312195752","2509947.6666667","4347083.2204992","7529527","43","3764785","5324149.1952356","7529527","43","0","0","0","0","43","0","43","43","7529527","0","7529527","7529527","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","7269309","149.3952176197","0.5502586284","2423103","4164484.334012","7231788","289","3634510","5087319.3352264","7231788","37232","0","0","0","0","37232","0","37232","37232","7231788","0","7231788","7231788","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","6879281","157.8653350546","0.5814561144","2293093.6666667","3971670.7327172","6879184","47","3439640.5","4864319.7767503","6879234","47","0","0","0","0","47","0","47","47","6879184","0","6879184","6879184","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9997140","160.0457730911","0.4001144327","3332380","5771646.2224021","9996903","60","9997140","0","9997140","9997140","9996903","0","9996903","9996903","177","0","177","177","9996903","0","9996903","9996903","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9917408","161.3324771957","0.403331193","3305802.6666667","5725735.9060579","9917313","38","4958704","7012585.8384207","9917351","57","0","0","0","0","57","0","57","57","9917313","0","9917313","9917313","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","9878006","161.9760101381","0.4049400253","3292668.6666667","5702898.8165057","9877809","35","4938922","6984640.9784282","9877809","35","0","0","0","0","35","0","35","35","9877809","0","9877809","9877809","TOR"
"37.97.149.8","443","10.0.2.15","37132","6","9999646","162.9057668641","0.6000212408","1999929.2","4276259.1391463","9644603","62","3333215.3333333","5468884.8911853","9644822","161","9644603","0","9644603","9644603","354886","0","354886","354886","9644603","0","9644603","9644603","TOR"
"10.0.2.15","43731","198.52.200.39","443","6","9987009","163.1118986676","0.6007804739","1997401.8","2734992.0142914","5006988","51","3329003","2882981.9802503","5007039","59","4979897","0","4979897","4979897","59","0","59","59","5006988","0","5006988","5006988","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9954858","163.6386978097","0.5022673352","2488714.5","4976354.3656203","9953246","133","9954725","0","9954725","9954725","4977359","7036966.880236","9953246","1472","140","0","140","140","9953246","0","9953246","9953246","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9946830","163.7707691797","0.603207253","1989366","2717450.3216867","5302001","159","4973335.5","519780.75982139","5340876","4605795","4973134","465088.17161695","5302001","4644267","562","0","562","562","5302001","0","5302001","5302001","TOR"
"10.0.2.15","40414","195.154.82.180","443","6","9676492","165.3491781939","0.4133729455","3225497.3333333","5586284.4548632","9675983","161","9676331","0","9676331","9676331","9676144","0","9676144","9676144","348","0","348","348","9675983","0","9675983","9675983","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9707609","167.8065113665","0.6180718651","1941521.8","3332758.10449","7696351","159","4853725","4020439.4521992","7696605","2010845","4853720.5","4020311.4658718","7696510","2010931","2011099","0","2011099","2011099","7696351","0","7696351","7696351","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9458908","169.152718263","0.4228817957","3152969.3333333","5460853.6647281","9458620","137","4729454","6688244.4431718","9458757","151","0","0","0","0","151","0","151","151","9458620","0","9458620","9458620","TOR"
"10.0.2.15","37628","213.239.216.222","443","6","9993461","169.6109085731","0.6003925967","1998692.2","4381046.5361045","9834792","84","4996673","6842133.506175","9834792","158554","4996542.5","6842599.4895438","9834991","158094","158554","0","158554","158554","9834792","0","9834792","9834792","TOR"
"10.0.2.15","40414","195.154.82.180","443","6","6329767","171.5702963474","0.6319347932","2109922.3333333","3654414.73908","6329677","37","3164883.5","4475746.215712","6329714","53","0","0","0","0","53","0","53","53","6329677","0","6329677","6329677","TOR"
"195.154.107.23","443","10.0.2.15","54453","6","6121059","172.6825374498","0.6534816933","2040353","3533740.4513502","6120765","46","3060506.5","4327859.0750675","6120765","248","0","0","0","0","248","0","248","248","6120765","0","6120765","6120765","TOR"
"10.0.2.15","50628","37.97.149.8","443","6","6272512","173.1363766223","0.6377030446","2090837.3333333","3621000.8830574","6272009","127","3136068","4434890.2930019","6272009","127","0","0","0","0","127","0","127","127","6272009","0","6272009","6272009","TOR"
"10.0.2.15","50628","37.97.149.8","443","6","6255979","173.5939330998","0.6393883355","2085326.3333333","3611672.9219712","6255727","56","3127891.5","4423427.384972","6255727","56","0","0","0","0","56","0","56","56","6255727","0","6255727","6255727","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9139473","175.064798594","0.4376619965","3046491","5276516.9822809","9139288","49","4569736.5","6462391.0017269","9139337","136","0","0","0","0","136","0","136","136","9139288","0","9139288","9139288","TOR"
"10.0.2.15","57188","82.161.239.177","110","6","6175827","175.846894675","0.6476865366","2058609","3564499.1224242","6174538","58","6175827","0","6175827","6175827","6174538","0","6174538","6174538","1231","0","1231","1231","6174538","0","6174538","6174538","TOR"
"10.0.2.15","57188","82.161.239.177","110","6","6159962","176.2997888623","0.6493546551","2053320.6666667","3521735.721154","6119819","2296","6159962","0","6159962","6159962","6119819","0","6119819","6119819","2296","0","2296","2296","6119819","0","6119819","6119819","TOR"
"10.0.2.15","57188","82.161.239.177","110","6","6153793","176.476524316","0.6500056144","2051264.3333333","3552014.1920359","6152777","56","6153793","0","6153793","6153793","6152777","0","6152777","6152777","960","0","960","960","6152777","0","6152777","6152777","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9026519","177.2554846447","0.4431387116","3008839.6666667","5211380.0360661","9026423","38","4513259.5","6382659.0552938","9026481","38","0","0","0","0","38","0","38","38","9026423","0","9026423","9026423","TOR"
"10.0.2.15","57188","82.161.239.177","110","6","6113776","177.6316305995","0.6542601495","2037925.3333333","3529506.1650387","6113448","45","6113776","0","6113776","6113776","6113448","0","6113448","6113448","283","0","283","283","6113448","0","6113448","6113448","TOR"
"10.0.2.15","57188","82.161.239.177","110","6","6108106","177.7965215404","0.6548674827","2036035.3333333","3524913.7405378","6106255","44","6108106","0","6108106","6108106","6106255","0","6106255","6106255","1807","0","1807","1807","6106255","0","6106255","6106255","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","8981327","178.1473940321","0.4453684851","2993775.6666667","5185220.8727377","8981153","70","4490663.5","6350658.2308045","8981257","70","0","0","0","0","70","0","70","70","8981153","0","8981153","8981153","TOR"
"10.0.2.15","48847","195.154.107.23","443","6","8973302","178.3067147411","0.4457667869","2991100.6666667","5180655.186781","8973206","48","4486651","6345014.8115838","8973254","48","0","0","0","0","48","0","48","48","8973206","0","8973206","8973206","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9095107","179.107293625","0.6596953725","1819021.4","3746831.9697558","8506031","58","4547553.5","5598214.5912354","8506089","589018","4547453.5","5598447.9364731","8506154","588753","589018","0","589018","589018","8506031","0","8506031","8506031","TOR"
"10.0.2.15","43771","148.251.190.229","9010","6","9002504","180.9496557847","0.6664812368","1800500.8","3063003.1808325","7071892","51","4501145.5","3635584.5657232","7071892","1930399","4501131.5","3635977.7170935","7072156","1930107","1930399","0","1930399","1930399","7071892","0","7071892","7071892","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","8724684","186.7116333382","0.6877039902","1744936.8","3571205.6233982","8115910","52","4362259","5308464.1526153","8115910","608608","4362229","5308814.8775788","8116128","608330","608608","0","608608","608608","8115910","0","8115910","8115910","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","8533941","190.8848444113","0.7030749334","1706788.2","3662007.5716452","8254027","53","4266730.5","5639440.3307921","8254417","279044","4266802","5638787.6712331","8254027","279577","337","0","337","337","8254027","0","8254027","8254027","TOR"
"10.0.2.15","40414","195.154.82.180","443","6","8508362","191.4587085035","0.7051886133","1701672.4","3709101.9096299","8335365","38","2836120.6666667","4763302.3393636","8335403","53","172905","0","172905","172905","53","0","53","53","8335365","0","8335365","8335365","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","5354801","202.8086571284","0.7469932123","1784933.6666667","3091058.8729252","5354181","63","5354801","0","5354801","5354801","5354181","0","5354181","5354181","557","0","557","557","5354181","0","5354181","5354181","TOR"
"10.0.2.15","44722","5.9.123.81","9001","6","8002367","203.5647702736","0.7497781594","1600473.4","3139434.0009771","7180305","35","4001075","4496110.1839034","7180305","821845","4001064","4496482.1220703","7180557","821571","821845","0","821845","821845","7180305","0","7180305","7180305","TOR"
"10.0.2.15","40414","195.154.82.180","443","6","7838506","207.8202147195","0.7654519879","1567701.2","3315169.3605467","7492020","133","3919067","5052918.5903216","7492020","346114","3919079.5","5053615.0905011","7492525","345634","346114","0","346114","346114","7492020","0","7492020","7492020","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","7623761","213.6740645464","0.7870131291","1524752.2","2540574.6859285","5859287","45","2541253.6666667","3005846.7365191","5859287","134","1763854","0","1763854","1763854","134","0","134","134","5859287","0","5859287","5859287","TOR"
"195.154.107.23","443","10.0.2.15","48847","6","2533930","214.2916339441","1.5785755723","844643.33333333","1462914.9381684","2533872","19","1266945.5","1791704.6388299","2533872","19","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","33827","82.161.239.177","110","6","7451806","214.7130507692","0.5367826269","2483935.3333333","4300708.8019109","7449966","47","7451806","0","7451806","7451806","7449966","0","7449966","7449966","1793","0","1793","1793","7449966","0","7449966","7449966","TOR"
"10.0.2.15","33827","82.161.239.177","110","6","9890599","216.6703957971","0.6066366658","1978119.8","4422222.56153","9888832","243","4945146","6991771.4432096","9889075","1217","4944931.5","6992165.3016868","9889139","724","1460","0","1460","1460","9888832","0","9888832","9888832","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","5003161","217.062772915","0.7994945595","1667720.3333333","2888218.6819139","5002748","168","5002916","0","5002916","5002916","5002993","0","5002993","5002993","168","0","168","168","5002748","0","5002748","5002748","TOR"
"10.0.2.15","56663","195.154.82.180","443","6","9995076","217.3070019678","0.7003448498","1665846","3773112.8361355","9349906","227","4997424.5","6156061.0304084","9350417","644432","3331521.6666667","5222281.0191601","9350408","2744","511","0","511","511","9349906","0","9349906","9349906","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","9978263","217.6731561395","0.6013070612","1995652.6","4461290.1456356","9976251","122","4989070.5","7054168.6669019","9977121","1020","4988518.5","7053718.9469891","9976251","786","1226","0","1226","1226","9976251","0","9976251","9976251","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9978233","217.6738105835","0.8017451587","1425461.8571429","3648529.2106611","9696294","153","3325946.3333333","5518685.6892098","9696447","4929","3326026.6666667","5518937.3613907","9696836","5489","153","0","153","153","9696294","0","9696294","9696294","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9844189","217.6918789349","0.6094966279","1968837.8","2875769.0605442","6338496","54","3281396.3333333","3175165.4015195","6338496","54","3505035","0","3505035","3505035","54","0","54","54","6338496","0","6338496","6338496","TOR"
"10.0.2.15","54453","195.154.107.23","443","6","9973966","217.7669344371","0.8020881563","1424852.2857143","3444291.7085579","9209230","74","3324584","5110771.848198","9209660","2047","3324512","5110569.0525955","9209375","2335","430","0","430","430","9209230","0","9209230","9209230","TOR"
"10.0.2.15","56663","195.154.82.180","443","6","9959767","218.0773907663","0.7028276866","1659961.1666667","3958098.9835797","9737488","187","4979572.5","6728973.0866613","9737675","221470","3319860","5558998.0031705","9737681","5408","187","0","187","187","9737488","0","9737488","9737488","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9947272","218.3513228552","0.8042405998","1421038.8571429","3587478.4101855","9549982","98","3315619.6666667","5402782.3866243","9550215","4871","3315679.6666667","5402598.9367933","9550080","5439","233","0","233","233","9549982","0","9549982","9549982","TOR"
"10.0.2.15","54420","195.154.107.23","443","6","4963604","218.7926353512","0.8058660602","1654534.6666667","2865565.7664964","4963405","97","2481802","3509660.8688091","4963507","97","0","0","0","0","0","0","0","0","0","0","0","0","TOR"
"10.0.2.15","58167","195.154.107.23","443","6","7439437","218.968182673","0.6720938695","1859859.25","3719404.5002023","7438966","114","3719644","5260076.8355787","7439080","208","7439115","0","7439115","7439115","322","0","322","322","7438966","0","7438966","7438966","TOR"
"10.0.2.15","40414","195.154.82.180","443","6","9773957","219.2561313703","0.6138762428","1954791.4","4346498.9470152","9729973","145","4886845.5","6849646.5157251","9730277","43414","4886899","6849140.9343765","9729973","43825","159","0","159","159","9729973","0","9729973","9729973","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9897050","219.4593338419","0.7072814627","1649508.3333333","3904021.7798318","9615305","118","4948466","6600099.3402562","9615441","281491","3298971.3333333","5472366.061654","9615878","1565","136","0","136","136","9615305","0","9615305","9615305","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9882138","219.790494729","0.809541417","1411734","3584366.8183987","9535095","65","3294000","5407912.8816015","9535365","1434","3293956","5407829.4117782","9535232","1637","270","0","270","270","9535095","0","9535095","9535095","TOR"
"10.0.2.15","37652","195.154.107.23","443","6","9878817","219.864382547","0.8098135637","1411259.5714286","3637800.3716058","9659061","147","3292805.3333333","5514467.2118986","9659223","5226","3292885","5514376.4614122","9659208","5818","162","0","162","162","9659061","0","9659061","9659061","TOR"
